,0,1,2,3
140,"UPPER-32 Hopperton Drive, Toronto, ON•St. Andrew-Windfields","$3,600",3 bed,•2 bath
141,"LOWER-32 Hopperton Drive, Toronto, ON•St. Andrew-Windfields","$1,800",2 bed,•1 bath
142,"2 Lescon Road, Toronto, ON•Don Valley Village","$4,000",3+3 bed,•4 bath
143,"186 Parkview Avenue, Toronto, ON•Willowdale East","$3,300",3 bed,•3 bath
144,"MAIN-116 Cranbrooke Avenue, Toronto, ON•Lawrence Park North","$4,550",3+1 bed,•3 bath
145,"121 Homewood Avenue, Toronto, ON•Newtonbrook West","$2,900",3 bed,•2 bath
146,"BSMT-465 Staines Road, Toronto, ON•Rouge E11","$1,350",1 bed,•1 bath
147,"266 Kennedy Road, Toronto, ON•Birchcliffe-Cliffside",$800,1 bed,•1 bath
148,"MAIN-35 Pondsview Drive, Toronto, ON•Pleasant View","$2,500",3 bed,•1 bath
149,"266 Kennedy Road, Toronto, ON•Birchcliffe-Cliffside",$800,1 bed,•1 bath
150,"24 Rhydwen Avenue, Toronto, ON•Birchcliffe-Cliffside","$3,200",3 bed,•2 bath
151,"MAIN-35 Pondsview Drive, Toronto, ON•Pleasant View","$2,500",3 bed,•1 bath
152,"BSMT-68 Pachino Boulevard, Toronto, ON•Wexford-Maryvale","$1,600",2 bed,•1 bath
153,"MAIN-68 Pachino Boulevard, Toronto, ON•Wexford-Maryvale","$2,400",3 bed,•1 bath
154,"LOWER-12 Burleigh Heights Drive, Toronto, ON•Bayview Village","$1,500",1 bed,•1 bath
155,"477 Broadway Avenue, Toronto, ON•Leaside","$4,900",3+1 bed,•2 bath
156,"118-35 Wabash Avenue, Toronto, ON•Roncesvalles","$3,200",1+1 bed,•2 bath
157,"UPPER-203 Chartland Boulevard, Toronto, ON•Agincourt North","$2,300",3 bed,•2 bath
158,"159 Orton Park Road, Toronto, ON•Morningside","$2,250",2 bed,•1 bath
159,"10 Jeff Drive, Toronto, ON•Markland Wood","$4,900",3+1 bed,•4 bath
160,"28 Ringley Avenue, Toronto, ON•Stonegate-Queensway","$3,900",1+1 bed,•2 bath
161,"63 Fairlawn Avenue, Toronto, ON•Lawrence Park North","$1,760,000",3+1 bed,•2 bath
162,"4 Claremore Avenue, Toronto, ON•Birchcliffe-Cliffside","$2,300",2 bed,•2 bath
163,"BSMT-397 Empress Avenue, Toronto, ON•Willowdale East","$2,050",2 bed,•1 bath
164,"1-67 Boustead Avenue, Toronto, ON•High Park-Swansea","$3,000",2 bed,•1 bath
165,"21 Beaufield Avenue, Toronto, ON•Leaside","$4,550",3+1 bed,•4 bath
166,"MAIN FL-36 Lake Promenade Prom, Toronto, ON•Long Branch","$2,350",2 bed,•1 bath
167,"11 Saintfield Avenue, Toronto, ON•Bridle Path-Sunnybrook-York Mills","$5,500",4 bed,•4 bath
168,"37 Canary Crescent, Toronto, ON•Bayview Village","$3,400",3 bed,•3 bath
169,"532 Jane Street, Toronto, ON•Runnymede-Bloor West Village","$1,049,900",2 bed,•2 bath
170,"19 Pheasant Lane, Toronto, ON•Princess-Rosethorn","$6,000",3 bed,•3 bath
171,"99 Greenock Avenue, Toronto, ON•Morningside","$2,300",3 bed,•1 bath
172,"67 Kimbark Boulevard, Toronto, ON•Bedford Park-Nortown","$6,800",3+1 bed,•4 bath
173,"191 York Mills Road, Toronto, ON•Bridle Path-Sunnybrook-York Mills","$2,000",2 bed,•1 bath
174,"258 Upper Highland Crescent, Toronto, ON•St. Andrew-Windfields","$4,980",4+1 bed,•3 bath
175,"18 King George Road, Toronto, ON•Weston","$1,800",2 bed,•1 bath
176,"3RD FLR-18 Spencer Avenue, Toronto, ON•South Parkdale","$2,200",1 bed,•1 bath
177,"2ND FLR-18 Spencer Avenue, Toronto, ON•South Parkdale","$2,200",1 bed,•1 bath
178,"BSMT-18 Spencer Avenue, Toronto, ON•South Parkdale","$1,700",1+1 bed,•1 bath
179,"8 Skipperhill Crescent, Toronto, ON•Rouge E11","$2,890",4 bed,•3 bath
180,"LOWER L-33 Urbandale Avenue, Toronto, ON•Newtonbrook East","$1,600",3 bed,•1 bath
181,"UPPER L-33 Urbandale Avenue, Toronto, ON•Newtonbrook East","$3,000",3 bed,•1 bath
182,"15 Leahann Drive, Toronto, ON•Dorset Park","$3,200",3+2 bed,•3 bath
183,"342 Moore Park Avenue, Toronto, ON•Newtonbrook West","$3,000",3+3 bed,•2 bath
184,"1204 Islington Avenue, Toronto, ON•Islington-City Centre West","$5,000",3 bed,•4 bath
185,"597 Horner Avenue, Toronto, ON•Alderwood","$3,750",3 bed,•3 bath
186,"14 Cordella Avenue, Toronto, ON•Rockcliffe-Smythe","$3,500",3+2 bed,•2 bath
187,"7 Waterbury Drive, Toronto, ON•Willowridge-Martingrove-Richview","$3,450",3 bed,•2 bath
188,"1 Deanvar Avenue, Toronto, ON•Wexford-Maryvale","$2,900",3+2 bed,•2 bath
189,"58 Brentwood Road, Toronto, ON•Stonegate-Queensway","$3,495",2 bed,•2 bath
190,"428 Bedford Park Avenue, Toronto, ON•Bedford Park-Nortown","$5,000",3+1 bed,•4 bath
191,"1LOWER-924 Avenue Road, Toronto, ON•Forest Hill South","$1,695",1 bed,•1 bath
192,"118 Martingrove Road, Toronto, ON•Islington-City Centre West","$2,600",3+1 bed,•1 bath
193,"26 Bishop Street, Toronto, ON•Annex","$7,300",3 bed,•3 bath
194,"(BSMT)-428 Brimorton Drive, Toronto, ON•Woburn","$1,700",2 bed,•1 bath
195,"23 Paynter Drive, Toronto, ON•Hillcrest Village","$3,500",4+2 bed,•4 bath
196,"LOWER-187 Brooke Avenue, Toronto, ON•Bedford Park-Nortown","$1,800",1 bed,•1 bath
197,"58 Old Oak Road, Toronto, ON•Kingsway South","$3,500",3+1 bed,•2 bath
198,"BSMT-101 Martin Grove Road, Toronto, ON•Islington-City Centre West","$1,780",– bed,•1 bath
199,"UPPER-26 Moncrieff Drive, Toronto, ON•Rexdale-Kipling","$2,100",3 bed,•1 bath
200,"MAIN-91 Dearbourne Avenue, Toronto, ON•North Riverdale","$2,475",1 bed,•1 bath
201,"(BSMT)-3 Vicross Road, Toronto, ON•O'Connor-Parkview","$1,500",1 bed,•1 bath
202,"12 Esgore Drive, Toronto, ON•Bedford Park-Nortown","$4,390",4+1 bed,•3 bath
203,"LOWER-3316 Bayview Avenue, Toronto, ON•Newtonbrook East","$2,000",2 bed,•1 bath
204,"36 Mossgrove Trail, Toronto, ON•St. Andrew-Windfields","$4,300",4+2 bed,•4 bath
205,"105 Hollywood Avenue, Toronto, ON•Willowdale East","$7,200",5+2 bed,•8 bath
206,"138 Poyntz Avenue, Toronto, ON•Lansing-Westgate","$3,500",3+1 bed,•2 bath
207,"50 Wallingford Road, Toronto, ON•Parkwoods-Donalda","$3,950",3 bed,•2 bath
208,"BSMT-46 Haverson Boulevard, Toronto, ON•Keelesdale-Eglinton West","$1,500",1 bed,•1 bath
209,"31 Glen Belle Court, Toronto, ON•Yorkdale-Glen Park","$3,000",3+1 bed,•2 bath
210,"11 Glenroy Avenue, Toronto, ON•Stonegate-Queensway","$3,900",3+1 bed,•3 bath
211,"17 Tollerton Avenue, Toronto, ON•Bayview Woods-Steeles","$3,950",5+1 bed,•4 bath
212,"(MAIN)-72 Dunstall Crescent, Toronto, ON•West Hill","$2,400",3 bed,•2 bath
213,"85 Bernice Crescent, Toronto, ON•Rockcliffe-Smythe","$2,650",3 bed,•2 bath
214,"254 Glenview Avenue, Toronto, ON•Lawrence Park South","$5,900",4 bed,•3 bath
215,"54 Mitcham Drive, Toronto, ON•Alderwood","$1,100,000",2+2 bed,•2 bath
216,"78 Felbrigg Avenue, Toronto, ON•Bedford Park-Nortown","$6,750",4+1 bed,•4 bath
217,"365 Harvie Avenue, Toronto, ON•Caledonia-Fairbank","$3,750",3 bed,•3 bath
218,"MAIN-24 Verwood Avenue, Toronto, ON•Clanton Park","$2,500",3 bed,•1 bath
219,"37 Marina Avenue, Toronto, ON•Long Branch","$3,200",3 bed,•2 bath
220,"UNIT 3-2 Fort Rouille Street, Toronto, ON•South Parkdale","$1,350",2 bed,•1 bath
221,"37 Winners Circle, Toronto, ON•The Beaches","$7,500",3+1 bed,•4 bath
222,"83 Lankin Boulevard, Toronto, ON•East York","$3,600",4 bed,•3 bath
223,"UPPER-20 Lyndale Drive, Toronto, ON•Willowdale East","$3,200",4 bed,•3 bath
224,"443 Heath Street, Toronto, ON•Rosedale-Moore Park","$5,950",4 bed,•3 bath
225,"BSMT-6 Latham Avenue, Toronto, ON•Birchcliffe-Cliffside","$1,800",2 bed,•2 bath
226,"UPPER-6 Latham Avenue, Toronto, ON•Birchcliffe-Cliffside","$2,500",3 bed,•1 bath
227,"107 Botany Hill Road, Toronto, ON•Morningside","$2,550",3 bed,•3 bath
228,"BSMT-43 Redbud Crescent, Toronto, ON•Agincourt South-Malvern West","$1,400",2 bed,•1 bath
229,"29 Dewbourne Avenue, Toronto, ON•Forest Hill South",$950,4+1 bed,•4 bath
230,"MSTR BR-43 Redbud Crescent, Toronto, ON•Agincourt South-Malvern West","$1,380",1 bed,•1 bath
231,"APT 2-2 Bryce Avenue, Toronto, ON•Yonge-St. Clair","$4,200",3 bed,•2 bath
232,"MAIN FL-33 Glenburn Avenue, Toronto, ON•O'Connor-Parkview","$2,150",2 bed,•1 bath
233,"113 Atlee Avenue, Toronto, ON•Birchcliffe-Cliffside","$2,400",3 bed,•1 bath
234,"92 Botfield Avenue, Toronto, ON•Islington-City Centre West","$2,600",3 bed,•1 bath
